field_id,cell_id,K,epsilon,beam_reach_at_K_p15,n_pool,n_episodes,status
artifacts_64__dynamics,k2_bin6-8_splitood,2,2.9898,0.765625,183,64,ok
artifacts_64__dynamics,k2_bin8-10_splitood,2,2.9898,0.53125,8,64,ok
artifacts_64__dynamics,k3_bin6-8_splitood,3,2.9898,0.96875,183,64,ok
artifacts_64__dynamics,k3_bin8-10_splitood,3,2.9898,0.8125,8,64,ok
artifacts_64__dynamics,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k2_bin6-8_splitood,2,2.9898,0.78125,183,64,ok
artifacts_64__dynamics_variants__baseline_plain,k2_bin8-10_splitood,2,2.9898,0.53125,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k3_bin6-8_splitood,3,2.9898,0.9375,183,64,ok
artifacts_64__dynamics_variants__baseline_plain,k3_bin8-10_splitood,3,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__baseline_plain,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k2_bin6-8_splitood,2,2.9898,0.765625,183,64,ok
artifacts_64__dynamics_variants__gene_bias,k2_bin8-10_splitood,2,2.9898,0.1875,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k3_bin6-8_splitood,3,2.9898,1.0,183,64,ok
artifacts_64__dynamics_variants__gene_bias,k3_bin8-10_splitood,3,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__gene_bias,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear,k2_bin6-8_splitood,2,2.9898,0.765625,183,64,ok
artifacts_64__dynamics_variants__state_linear,k2_bin8-10_splitood,2,2.9898,0.53125,8,64,ok
artifacts_64__dynamics_variants__state_linear,k3_bin6-8_splitood,3,2.9898,0.96875,183,64,ok
artifacts_64__dynamics_variants__state_linear,k3_bin8-10_splitood,3,2.9898,0.8125,8,64,ok
artifacts_64__dynamics_variants__state_linear,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k2_bin6-8_splitood,2,2.9898,0.90625,183,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k2_bin8-10_splitood,2,2.9898,0.671875,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k3_bin6-8_splitood,3,2.9898,1.0,183,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k3_bin8-10_splitood,3,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_combo0,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k2_bin6-8_splitood,2,2.9898,0.796875,183,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k2_bin8-10_splitood,2,2.9898,0.046875,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k3_bin6-8_splitood,3,2.9898,1.0,183,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k3_bin8-10_splitood,3,2.9898,0.8125,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k4_bin8-10_splitood,4,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k5_bin8-10_splitood,5,2.9898,1.0,8,64,ok
artifacts_64__dynamics_variants__state_linear_gene_bias,k8_bin8-10_splitood,8,2.9898,1.0,8,64,ok
artifacts__dynamics,k2_bin6-8_splitood,2,2.9898,0.453125,227,64,ok
artifacts__dynamics,k2_bin8-10_splitood,2,2.9898,0.40625,17,64,ok
artifacts__dynamics,k3_bin6-8_splitood,3,2.9898,0.984375,227,64,ok
artifacts__dynamics,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts__dynamics,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__baseline,k2_bin6-8_splitood,2,2.9898,0.4375,227,64,ok
artifacts__dynamics_ablation__baseline,k2_bin8-10_splitood,2,2.9898,0.109375,17,64,ok
artifacts__dynamics_ablation__baseline,k3_bin6-8_splitood,3,2.9898,0.875,227,64,ok
artifacts__dynamics_ablation__baseline,k3_bin8-10_splitood,3,2.9898,0.90625,17,64,ok
artifacts__dynamics_ablation__baseline,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__baseline,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__baseline,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__gene_bias,k2_bin6-8_splitood,2,2.9898,0.578125,227,64,ok
artifacts__dynamics_ablation__gene_bias,k2_bin8-10_splitood,2,2.9898,0.296875,17,64,ok
artifacts__dynamics_ablation__gene_bias,k3_bin6-8_splitood,3,2.9898,1.0,227,64,ok
artifacts__dynamics_ablation__gene_bias,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__gene_bias,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__gene_bias,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__gene_bias,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear,k2_bin6-8_splitood,2,2.9898,0.515625,227,64,ok
artifacts__dynamics_ablation__state_linear,k2_bin8-10_splitood,2,2.9898,0.296875,17,64,ok
artifacts__dynamics_ablation__state_linear,k3_bin6-8_splitood,3,2.9898,0.953125,227,64,ok
artifacts__dynamics_ablation__state_linear,k3_bin8-10_splitood,3,2.9898,0.796875,17,64,ok
artifacts__dynamics_ablation__state_linear,k4_bin8-10_splitood,4,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear,k5_bin8-10_splitood,5,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear,k8_bin8-10_splitood,8,2.9898,1.0,17,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k2_bin6-8_splitood,2,2.9898,0.71875,227,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k2_bin8-10_splitood,2,2.9898,0.578125,17,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k3_bin6-8_splitood,3,2.9898,1.0,227,64,ok
artifacts__dynamics_ablation__state_linear_gene_bias,k3_bin8-10_splitood,3,2.9898,1.0,17,64,ok
